BADANIE;Jednostka;Cena
RTG CITO;alfasochaczew;36
RTG CITO;bimed;32
RTG CITO;diamed;34
RTG CITO;domchojna2;38
RTG CITO;domchojna;38
RTG CITO;gz;37
RTG CITO;gzplonsk;37
RTG CITO;gzszczecin;37
RTG CITO;kamienpomorski;38
RTG CITO;kosmowroclaw;34
RTG CITO;medinet;38
RTG CITO;nrkrakow;36
RTG CITO;nzozevita;36
RTG CITO;powiatsredzki;42
RTG CITO;smtorun;36
RTG CITO;szpitalsiemiatycze;0
RTG CITO;tdallmedica;36
RTG CITO;tdcmbatorego;33
RTG CITO;tdcrir;0
RTG CITO;tdkoszalinmswia;33
RTG CITO;tdorzesze;0
RTG CITO;tdstalowawola;35
RTG CITO;tdtargowek;0
RTG CITO;tdzozwola;32
RTG CITO;wimed;38
RTG CITO;wss5;38
RTG CITO;bialogard;39
RTG CITO;brodnica;38
RTG CITO;brzesko;40
RTG CITO;cobydgoszcz;42
RTG CITO;dcmdolmed;38
RTG CITO;dzierzoniow;38
RTG CITO;faceclinic;0
RTG CITO;goleniow;45
RTG CITO;gorlice;36
RTG CITO;grajewo;38
RTG CITO;grodzisk;34
RTG CITO;kartuzy;38
RTG CITO;klodzko;36
RTG CITO;lapy;36
RTG CITO;lubaczow;42
RTG CITO;mswsiedlce;39
RTG CITO;nml;36
RTG CITO;ostrow;40
RTG CITO;pczotwock;37
RTG CITO;radiomedica;36
RTG CITO;rybnik;34
RTG CITO;scanmed;38
RTG CITO;sokolow;36
RTG CITO;spbochnia;29
RTG CITO;spzozlezajsk;0
RTG CITO;spzozmc;38
RTG CITO;spzozturek;0
RTG CITO;spzzozsierpc;40
RTG CITO;starachowice;38
RTG CITO;swk;42
RTG CITO;szpitaldzieciecy;40
RTG CITO;szpitallubartow;38
RTG CITO;szpitalopole;34
RTG CITO;szpitalzakopane;0
RTG CITO;szpitalzawiercie;38
RTG CITO;tdbelzyce;38
RTG CITO;tdblachownia;38
RTG CITO;tdbonifratrzy;39
RTG CITO;tdbrodnowski;34
RTG CITO;tdemcpiaseczno;39
RTG CITO;tdgammaknife;39
RTG CITO;tdgniezno;38
RTG CITO;tdipin;38
RTG CITO;tdkluczbork;0
RTG CITO;tdksskrakow;0
RTG CITO;tdneuromedyka;36
RTG CITO;tdnowomedica;0
RTG CITO;tdonkologiaradom;39
RTG CITO;tdparczew;37
RTG CITO;tdpionki;37
RTG CITO;tdpraski;36
RTG CITO;tdpoludniowy;32
RTG CITO;tdpyrzyce;36
RTG CITO;tdscanmedak5;0
RTG CITO;tdscanmedpila;0
RTG CITO;tdsmswinoujscie;36
RTG CITO;tdspectrum;0
RTG CITO;tdspzozkolo;34
RTG CITO;tdspzozsiedlce;35
RTG CITO;tdsulechowNOWY;36
RTG CITO;tdszpitalchelm;33
RTG CITO;tdszpitalkolno;39
RTG CITO;tdwszplock;0
RTG CITO;tdzoznidzica;38
RTG CITO;tdzozplonsk;0
RTG CITO;td7szmw;0
RTG CITO;tworki;0
RTG CITO;uskbialystok;0
RTG CITO;uskpoznan;35
RTG CITO;wlodawa;42
RTG CITO;zambrow;38
RTG CITO;zgorzelec;36
RTG CITO;zozbiala;37
RTG CITO;zozswietochlowice;39
RTG CITO;almed;36
RTG CITO;dabrowatarnowska;39
RTG CITO;grupazdrowie;37
RTG CITO;komed;37
RTG CITO;mswiapoznan;36
RTG CITO;poddebice2;34
RTG CITO;swp;39
RTG CITO;puszczykowo;39
RTG CITO;rodamed;39
RTG CITO;sm4gliwice;39
RTG CITO;spzozgrodzisk;39
RTG CITO;spzozswidnica;36
RTG CITO;szpitaljaslo;38
RTG CITO;szpitalrydygier;38
RTG CITO;tdmilicz;0
